Timestamp,Date_Of_Birth,Gender,Personality_Trait,Aptitude,Parents_Education,Family_Lifestyle,Address,Math,English,Bio,Chemistry,Physics,ICT,Business,if_HS_Student,Study_Method,Study_Habit,English_Proficiency,IELTS_Score,Favorite_Subject,Career_Interest,Extracurricular,Achievements,Study_Country,Chosen_University,Influence
2025/09/30 7:48:44 PM GMT+6:30,30/09/2008,Female,ENFJ,7–8 → High aptitude,Graduate,Moderate / Average,Yangon ,83,80,0,0,0,100,95,yes,Tuition / Extra Classes,More than 4 hours,Intermediate,0,Business,Business,Student Council / Leadership Roles,Other (please specify),Canada,.,Personal interest / passion
2025/09/30 7:55:20 PM GMT+6:30,23/05/2010,Male,ENFP,4–6 → Medium aptitude,Graduate,Comfortable / Above average,Monywa,95,75,0,79,95,92,0,yes,Tuition / Extra Classes,Less than 1 hour,Advanced,0,Physics,Engineering,Debate / Public Speaking;Student Council / Leadership Roles;Programming / coding clubs;DIY projects;Building miniatures / models,Other (please specify),UK;Singapore,,Personal interest / passion
2025/09/30 7:57:42 PM GMT+6:30,08/08/2010,Female,INTJ,7–8 → High aptitude,Graduate,Moderate / Average,Mandalay,75,90,75,75,80,70,0,yes,Self-study,1–2 hours,Intermediate,0,ICT,IT,Debate / Public Speaking;DIY projects,Other (please specify),USA;Canada,I don’t have one yet,Personal interest / passion
2025/09/30 8:02:08 PM GMT+6:30,24/08/2008,Female,INTJ,9–10 → Exceptional aptitude,Graduate,Moderate / Average,Mandalay,90,76,0,0,70,70,0,yes,Self-study,1–2 hours,Intermediate,0,Math,Medicine,Debate / Public Speaking,Other (please specify),UK,University of Bristol ,Family influence / parental guidance
2025/09/30 8:03:47 PM GMT+6:30,28/09/2009,Male,INFJ,7–8 → High aptitude,Graduate,Moderate / Average,Mandalay,70,85,0,0,0,0,0,no,Self-study,Less than 1 hour,Intermediate,0,Business,Business,"Volunteering at hospitals, clinics, or NGOs",Volunteering recognition,Singapore,Polytechnic ,Personal interest / passion
2025/09/30 8:04:18 PM GMT+6:30,06/04/2009,Female,ENFP,7–8 → High aptitude,Graduate,Moderate / Average,Mandalay,74,75,85,65,64,70,95,yes,Self-study,1–2 hours,Intermediate,0,English,Business,DIY projects,Other (please specify),Singapore,NUS,Personal interest / passion
2025/09/30 8:04:54 PM GMT+6:30,30/10/2006,Male,ISTJ,9–10 → Exceptional aptitude,Graduate,Moderate / Average,Mandalay,80,65,0,90,95,70,65,no,Self-study,2–3 hours,Intermediate,0,Physics,Engineering,Science clubs,Volunteering recognition,Canada,Carleton or waterloo,passion and salary
2025/09/30 8:07:47 PM GMT+6:30,15/06/2006,Male,ENFJ,9–10 → Exceptional aptitude,Graduate,Moderate / Average,Mandalay ,93,97,88,88,96,99,0,yes,Self-study,Less than 1 hour,Advanced,0,Math,Business,Debate / Public Speaking;Student Council / Leadership Roles;DIY projects;Building miniatures / models,DIY / Project recognition,UK;Canada,,Personal interest / passion
2025/09/30 8:10:26 PM GMT+6:30,14/05/2009,Male,INTP,9–10 → Exceptional aptitude,Graduate,,Mandalay ,95,80,0,85,93,82,0,yes,Self-study,Less than 1 hour,Intermediate,0,Math,Engineering,Building miniatures / models,Other (please specify),UK;Singapore,,Personal interest / passion
2025/09/30 8:12:07 PM GMT+6:30,15/09/2008,Male,ISTJ,7–8 → High aptitude,Graduate,Moderate / Average,Yangon,98.6,95.5,0,0,85,80,0,yes,Self-study,More than 4 hours,Advanced,0,Math,IT,Programming / coding clubs;Hackathons / App development projects,Other (please specify),Singapore,National university of Singapore ,Personal interest / passion
2025/09/30 8:12:44 PM GMT+6:30,28/10/1998,Gay,ISFP,4–6 → Medium aptitude,Graduate,Moderate / Average,Yangon,60,44,69,44,74,70,70,no,Tuition / Extra Classes,2–3 hours,Intermediate,0,Physics,IT,Debate / Public Speaking;Science clubs;Programming / coding clubs;Hackathons / App development projects,Other (please specify),UK,,Personal interest / passion
2025/09/30 8:14:10 PM GMT+6:30,03/06/2009,Male,ISTJ,7–8 → High aptitude,Non-Graduate,Moderate / Average,Yangon ,90,78,80,85,90,0,0,yes,Self-study,1–2 hours,Intermediate,0,Math,IT,DIY projects,DIY / Project recognition,UK;Singapore;Thailand,,Peer influence / friends
2025/09/30 8:16:30 PM GMT+6:30,30/09/2025,Female,ENTJ,9–10 → Exceptional aptitude,Graduate,Moderate / Average,Yangon ,50,68,0,0,0,95,88,yes,Tuition / Extra Classes,2–3 hours,Intermediate,0,Business,Business,Debate / Public Speaking,Other (please specify),UK;Canada,"RMIT, Torrens University, Queensland University of Technology ",Personal interest / passion
2025/09/30 8:18:25 PM GMT+6:30,24/10/2007,Male,ISTJ,7–8 → High aptitude,Graduate,Comfortable / Above average,Mandalay,90,70,0,80,80,99,0,yes,Self-study,2–3 hours,Intermediate,0,Math,IT,Student Council / Leadership Roles,Student Council / Leadership role,UK,Oxford,Personal interest / passion
2025/09/30 8:20:39 PM GMT+6:30,27/02/1995,Female,INFP,7–8 → High aptitude,Graduate,Comfortable / Above average,BEHS.SaLinGyi,57,68,65,78,65,0,0,no,Tuition / Extra Classes,More than 4 hours,Intermediate,0,ICT,IT,Debate / Public Speaking;Student Council / Leadership Roles;Programming / coding clubs;Hackathons / App development projects,Debate / Public Speaking awards,UK;USA;Singapore,University of Greenwich ,Teachers / mentors
2025/09/30 8:22:05 PM GMT+6:30,27/01/2010,Male,INTP,9–10 → Exceptional aptitude,Graduate,Moderate / Average,Mandalay,82,87,0,83,73,84,0,yes,Tuition / Extra Classes,Less than 1 hour,Intermediate,8,Math,IT,Programming / coding clubs;Hackathons / App development projects;DIY projects,Programming / Coding award,Singapore,NUS,Personal interest / passion
2025/09/30 8:27:55 PM GMT+6:30,28/10/2007,Female,ISFJ,9–10 → Exceptional aptitude,Graduate,Moderate / Average,MANDALAY,60,75,0,0,60,82,0,yes,Self-study,3–4 hours,Intermediate,0,ICT,IT,Debate / Public Speaking,Volunteering recognition,UK,"University of Edinburgh, University of Glasgow, Cardiff University",Personal interest / passion
2025/09/30 8:34:42 PM GMT+6:30,29/04/1998,Female,INTP,7–8 → High aptitude,Graduate,Moderate / Average,Yangon,82,70,60,87,84,0,0,no,Tuition / Extra Classes,2–3 hours,Intermediate,0,ICT,IT,Programming / coding clubs;Hackathons / App development projects;DIY projects,Other (please specify),UK;USA;Canada,,Previous academic performance / aptitude
2025/09/30 8:40:48 PM GMT+6:30,10/12/2004,Male,ISFP,9–10 → Exceptional aptitude,Graduate,Limited / Basic,STI MyanmarCollege Mandalay,98,65,74,88,60,77,82,no,Self-study,2–3 hours,Intermediate,0,Math,Engineering,Debate / Public Speaking;Building miniatures / models,Other (please specify),UK;Canada,University of Manchester ,Personal interest / passion
2025/09/30 8:43:03 PM GMT+6:30,17/12/2009,Female,INFJ,9–10 → Exceptional aptitude,Graduate,Moderate / Average,Mandalay,98,87,96,94,85,94,0,yes,Self-study,More than 4 hours,Intermediate,0,Math,Medicine,"Debate / Public Speaking;Volunteering at hospitals, clinics, or NGOs;Programming / coding clubs;DIY projects",Science fair / Olympiad prize,UK;Singapore,"University of Bristol, University of St Andrews, University of Glasgow, Oxford University and National University of Singapore",Personal interest / passion
2025/09/30 8:44:52 PM GMT+6:30,06/11/1999,Female,ISFJ,4–6 → Medium aptitude,Graduate,Comfortable / Above average,Sagaing Division,75,75,75,75,75,0,0,no,Tuition / Extra Classes,More than 4 hours,Intermediate,0,Math,Business,"Volunteering at hospitals, clinics, or NGOs",Volunteering recognition,UK,,Job availability / employment prospects
2025/09/30 8:45:21 PM GMT+6:30,11/11/2009,Female,INFJ,7–8 → High aptitude,Graduate,Comfortable / Above average,Monywa,93,96,99,97,90,98,0,yes,Self-study,2–3 hours,Advanced,0,Science,Medicine,Debate / Public Speaking;Student Council / Leadership Roles;Science clubs,Other (please specify),UK;USA;Canada,"Harvard, Oxford, Toronto, Imperial College","A combination of personal interest, family influence, teachers, previous academic performance"
2025/09/30 8:45:22 PM GMT+6:30,30/01/2006,Male,ENFP,9–10 → Exceptional aptitude,Graduate,Limited / Basic,Mandalay,70,90,0,0,0,0,0,yes,Tuition / Extra Classes,3–4 hours,Advanced,8,ICT,IT,Debate / Public Speaking;Building miniatures / models,Model building recognition,Singapore,NUS,I just want the bread
2025/09/30 8:52:53 PM GMT+6:30,28/05/2008,Female,ENFP,7–8 → High aptitude,Graduate,Moderate / Average,Mandalay,95,80,0,0,97,0,0,yes,Self-study,1–2 hours,Advanced,0,English,IT,"Student Council / Leadership Roles;Volunteering at hospitals, clinics, or NGOs;Building miniatures / models",Student Council / Leadership role,Canada,,Personal interest / passion
2025/09/30 8:56:31 PM GMT+6:30,18/09/2006,Male,INFJ,9–10 → Exceptional aptitude,Non-Graduate,Comfortable / Above average,Singapore,96,65,0,96,94,92,0,no,Self-study,1–2 hours,Intermediate,0,Math,Engineering,"Student Council / Leadership Roles;Volunteering at hospitals, clinics, or NGOs",Student Council / Leadership role;Volunteering recognition,Singapore,"Singapore Polytechnic (currently), NTU and NUS in the future",Teachers / mentors
2025/09/30 8:57:58 PM GMT+6:30,25/12/2002,Male,ENTP,9–10 → Exceptional aptitude,Non-Graduate,Comfortable / Above average,Yangon,80,80,0,80,80,85,0,no,Self-study,Less than 1 hour,Advanced,0,Physics,Business,DIY projects,DIY / Project recognition,UK,,Personal interest / passion
2025/09/30 9:01:41 PM GMT+6:30,05/02/2007,Female,INFJ,9–10 → Exceptional aptitude,Graduate,Moderate / Average,Bago,86,95,0,67,69,65,0,no,Self-study,More than 4 hours,Intermediate,0,English,Engineering,Student Council / Leadership Roles;Programming / coding clubs;DIY projects,DIY / Project recognition;Model building recognition;Other (please specify),UK;Singapore,I am currently attending polytechnic in Singapore and for UK I am not sure which one I want to study in.,Personal interest / passion
2025/09/30 9:02:39 PM GMT+6:30,22/07/2001,Male,INFJ,9–10 → Exceptional aptitude,Graduate,Limited / Basic,Taunggyi,81,69,78,80,80,0,0,no,Self-study,1–2 hours,Beginner,0,English,IT,DIY projects,Science fair / Olympiad prize,Thailand,,Personal interest / passion
2025/09/30 9:07:43 PM GMT+6:30,1150-02-09,Male,ENTJ,7–8 → High aptitude,Non-Graduate,Moderate / Average,Mandalay,42,85,76,86,64,91,0,no,Tuition / Extra Classes,1–2 hours,Advanced,0,Physics,IT,Student Council / Leadership Roles;Science clubs,Other (please specify),USA,,Personal interest / passion
2025/09/30 9:08:51 PM GMT+6:30,24/11/2009,Female,ENFJ,7–8 → High aptitude,Non-Graduate,Moderate / Average,Mandalay,50,70,0,0,0,0,0,yes,Self-study,Less than 1 hour,Intermediate,0,Science,IT,Debate / Public Speaking,Other (please specify),UK;USA,,Job availability / employment prospects
2025/09/30 9:49:16 PM GMT+6:30,11/06/2008,Female,ENFP,9–10 → Exceptional aptitude,Graduate,Moderate / Average,Yangon,73,97,0,0,80,83,0,yes,Self-study,2–3 hours,Intermediate,0,English,IT,Debate / Public Speaking;Student Council / Leadership Roles;DIY projects,Debate / Public Speaking awards;Student Council / Leadership role,UK;Singapore,,Teachers / mentors
2025/09/30 9:59:54 PM GMT+6:30,27/08/2009,Female,INTJ,7–8 → High aptitude,Graduate,Comfortable / Above average,Mandalay,73,90,86,75,82.5,80,80,yes,Tuition / Extra Classes,More than 4 hours,Intermediate,0,Science,Business,DIY projects;Building miniatures / models,Science fair / Olympiad prize;DIY / Project recognition,UK,,Family influence / parental guidance
2025/09/30 10:11:50 PM GMT+6:30,23/09/2005,Prefer not to say,ENFP,4–6 → Medium aptitude,Non-Graduate,Moderate / Average,Chanmyatharzi,84,87,0,0,0,85,80,yes,Self-study,3–4 hours,Intermediate,0,ICT,IT,Debate / Public Speaking,Debate / Public Speaking awards,UK;Canada,coventry,Personal interest / passion
2025/09/30 10:21:24 PM GMT+6:30,19/12/2001,Male,ISTJ,4–6 → Medium aptitude,Graduate,Moderate / Average,Mandalay,90,73,89,90,75,0,0,no,Self-study,Less than 1 hour,Intermediate,0,Business,Business,Debate / Public Speaking,Debate / Public Speaking awards,USA,Middlesex University,Family influence / parental guidance
2025/09/30 10:45:32 PM GMT+6:30,01/09/2025,Male,ISTJ,7–8 → High aptitude,Non-Graduate,Moderate / Average,Yangon,60,6.5,70,70,74,4,0,no,Self-study,Less than 1 hour,Intermediate,6.5,ICT,IT,Programming / coding clubs;DIY projects,Volunteering recognition;DIY / Project recognition,UK;USA,I want to attend : Massachusetts Institute of Technology (MIT),Personal interest / passion
2025/09/30 10:58:04 PM GMT+6:30,03/09/2008,Male,INFJ,7–8 → High aptitude,Graduate,Comfortable / Above average,Mandalay ,85,70,90,83,78,90,0,yes,Self-study,2–3 hours,Intermediate,0,English,Medicine,Debate / Public Speaking;Student Council / Leadership Roles;DIY projects;Building miniatures / models,Student Council / Leadership role;Model building recognition,UK,Cambridge ,Family influence / parental guidance
2025/09/30 11:08:32 PM GMT+6:30,01/01/2009,Female,INTP,9–10 → Exceptional aptitude,Graduate,,Mandalay,60,90,0,0,0,90,90,yes,Self-study,2–3 hours,Intermediate,0,ICT,Business,Debate / Public Speaking;Student Council / Leadership Roles;DIY projects,Debate / Public Speaking awards;Student Council / Leadership role;DIY / Project recognition,Canada,,Personal interest / passion
2025/09/30 11:14:49 PM GMT+6:30,15/06/2008,Female,INFJ,9–10 → Exceptional aptitude,Graduate,Comfortable / Above average,Helix international school,89,65,90,93,95,85,0,yes,Tuition / Extra Classes,More than 4 hours,Advanced,0,Math,Engineering,"Debate / Public Speaking;Student Council / Leadership Roles;Volunteering at hospitals, clinics, or NGOs;Science clubs;Programming / coding clubs;Hackathons / App development projects;DIY projects;Building miniatures / models",Debate / Public Speaking awards;Student Council / Leadership role;Volunteering recognition;Science fair / Olympiad prize;Programming / Coding award;Hackathon / App competition prize;DIY / Project recognition;Model building recognition,Singapore,,Job availability / employment prospects
2025/09/30 11:33:26 PM GMT+6:30,28/02/2009,Female,INFJ,7–8 → High aptitude,Graduate,Moderate / Average,GIC,78,80,99,98,97,0,0,yes,Self-study,3–4 hours,Intermediate,0,Science,Medicine,"Volunteering at hospitals, clinics, or NGOs",Volunteering recognition;Other (please specify),Canada;Singapore,-,Personal interest / passion
2025/10/01 12:16:37 AM GMT+6:30,01/04/1995,Female,INFJ,7–8 → High aptitude,Graduate,Comfortable / Above average,Mandalay ,85,69,83,86,64,0,0,no,Tuition / Extra Classes,2–3 hours,Intermediate,0,ICT,IT,Debate / Public Speaking;Student Council / Leadership Roles,DIY / Project recognition,UK,,Family influence / parental guidance
2025/10/01 12:27:51 AM GMT+6:30,20/12/2007,Female,ENFJ,9–10 → Exceptional aptitude,Graduate,Moderate / Average,Mandalay ,80,50,0,90,91,63,0,yes,Self-study,1–2 hours,Intermediate,0,Physics,Engineering,Science clubs,Other (please specify),Canada,University of Toronto ,Family influence / parental guidance
2025/10/01 12:46:22 AM GMT+6:30,07/08/2003,Male,ISFJ,7–8 → High aptitude,Graduate,Comfortable / Above average,Yangon,49,53,74,68,78,0,0,no,Tuition / Extra Classes,More than 4 hours,Intermediate,0,Physics,Business,DIY projects;Building miniatures / models,Other (please specify),Canada,University of Toronto ,Family influence / parental guidance
2025/10/01 4:52:36 AM GMT+6:30,18/09/2006,Male,INFJ,7–8 → High aptitude,Graduate,Moderate / Average,Taipei,83,88,91,95,0,0,0,yes,Self-study,2–3 hours,Intermediate,0,Science,Business,"Volunteering at hospitals, clinics, or NGOs;DIY projects;Building miniatures / models",Other (please specify),Canada,,Job availability / employment prospects
2025/10/01 8:59:07 AM GMT+6:30,24/12/2009,Female,ESTP,4–6 → Medium aptitude,Graduate,Moderate / Average,Mandalay,100,88,0,90,85,94,0,no,Self-study,2–3 hours,Intermediate,125,ICT,Medicine,Debate / Public Speaking;Student Council / Leadership Roles,Debate / Public Speaking awards;Student Council / Leadership role;Science fair / Olympiad prize,USA,Harvard University,Personal interest / passion
2025/10/01 9:07:11 AM GMT+6:30,13/07/2006,Female,ISFP,7–8 → High aptitude,Graduate,Comfortable / Above average,npt,73,65,76,81,92,80,75,yes,Tuition / Extra Classes,2–3 hours,Intermediate,0,ICT,IT,Programming / coding clubs;Hackathons / App development projects;DIY projects,Programming / Coding award,Canada,Toronoto University,Personal interest / passion
2025/10/01 9:10:25 AM GMT+6:30,12/09/2007,Male,ISFP,7–8 → High aptitude,Graduate,Comfortable / Above average,Yangon,60,70,80,80,60,90,70,yes,Tuition / Extra Classes,1–2 hours,Intermediate,0,ICT,IT,Student Council / Leadership Roles;Programming / coding clubs;DIY projects;Building miniatures / models,Student Council / Leadership role,Canada;Thailand,Charles University,Personal interest / passion
2025/10/01 9:13:01 AM GMT+6:30,24/09/2008,Female,ISFP,7–8 → High aptitude,Graduate,Comfortable / Above average,Yangon,69,81,0,0,78,74,0,yes,Tuition / Extra Classes,Less than 1 hour,Intermediate,0,English,IT,Programming / coding clubs;Hackathons / App development projects,Debate / Public Speaking awards,Singapore,Nanyang Technological University ,Personal interest / passion
2025/10/01 9:14:04 AM GMT+6:30,03/11/2008,Female,INTP,9–10 → Exceptional aptitude,Graduate,Moderate / Average,Chauk,88,95,0,0,0,83,0,yes,Self-study,Less than 1 hour,Intermediate,0,Physics,Medicine,Debate / Public Speaking,Other (please specify),UK;Singapore,,Personal interest / passion
2025/10/01 9:14:19 AM GMT+6:30,01/07/2008,Female,INFP,9–10 → Exceptional aptitude,Graduate,Comfortable / Above average,Yangon,99,95,85,84,80,0,0,yes,Self-study,3–4 hours,Advanced,0,Chemistry,Medicine,"Volunteering at hospitals, clinics, or NGOs",Other (please specify),Thailand,"NUS, NTU",Family influence / parental guidance
2025/10/01 9:14:55 AM GMT+6:30,02/02/2010,Male,INTJ,7–8 → High aptitude,Graduate,Moderate / Average,Nattalin,98,50,0,0,92,90,0,yes,Self-study,Less than 1 hour,Intermediate,0,ICT,IT,Programming / coding clubs;Hackathons / App development projects,Other (please specify),Singapore,Poly ,Personal interest / passion
2025/10/01 9:19:23 AM GMT+6:30,17/11/2008,Male,ISFP,9–10 → Exceptional aptitude,Graduate,Moderate / Average,Yangon,70,60,0,0,70,0,0,yes,Tuition / Extra Classes,Less than 1 hour,Intermediate,0,Math,Engineering,Science clubs,Other (please specify),UK,,Personal interest / passion
2025/10/01 9:20:44 AM GMT+6:30,29/10/2008,Female,INFJ,7–8 → High aptitude,Graduate,Limited / Basic,Yangon,45,37,58,57,73,77,55,yes,Tuition / Extra Classes,2–3 hours,Intermediate,0,Business,IT,Programming / coding clubs,Volunteering recognition,UK;Singapore,-,Personal interest / passion
2025/10/01 9:35:57 AM GMT+6:30,10/07/2010,Female,INFP,7–8 → High aptitude,Graduate,Comfortable / Above average,Yephyu,90,88,0,0,0,0,0,no,Self-study,Less than 1 hour,Intermediate,0,Math,Medicine,DIY projects,Other (please specify),Singapore,NOT SURE,Family influence / parental guidance
2025/10/01 11:58:24 AM GMT+6:30,12/07/2006,Female,INFJ,9–10 → Exceptional aptitude,Graduate,Moderate / Average,Mandalay ,96,88,0,0,97,88,0,no,Self-study,2–3 hours,Intermediate,0,ICT,IT,Debate / Public Speaking,Student Council / Leadership role,USA;Canada;Thailand,Sapienza University of ROME in Italy,Teachers / mentors
2025/10/01 12:26:08 PM GMT+6:30,25/03/2009,Female,ESTJ,7–8 → High aptitude,Non-Graduate,Moderate / Average,mandalay,100,70,98,84,100,94,90,yes,Tuition / Extra Classes,2–3 hours,Intermediate,0,Math,Business,Student Council / Leadership Roles,Other (please specify),Canada,,Family influence / parental guidance
2025/10/01 12:27:04 PM GMT+6:30,05/02/2004,Male,ISFJ,4–6 → Medium aptitude,Graduate,Moderate / Average,Mandalay,90,78,70,90,80,0,80,no,Self-study,More than 4 hours,Advanced,7,Math,IT,Debate / Public Speaking,Volunteering recognition,UK,University of Coventry,Personal interest / passion
2025/10/01 12:29:52 PM GMT+6:30,24/10/2000,Male,ISFJ,9–10 → Exceptional aptitude,Graduate,Comfortable / Above average,Pyin Oo Lwin ,96,79,88,76,67,79,99,yes,Self-study,3–4 hours,Advanced,8.5,ICT,Medicine,"Student Council / Leadership Roles;Volunteering at hospitals, clinics, or NGOs;DIY projects",Student Council / Leadership role;Volunteering recognition,Canada,NUS,Personal interest / passion
2025/10/01 12:29:59 PM GMT+6:30,23/07/2011,Female,ISFP,4–6 → Medium aptitude,Non-Graduate,Moderate / Average,mandalay,90,90,80,80,76,70,70,yes,Self-study,1–2 hours,Beginner,0,English,Engineering,Building miniatures / models,Model building recognition,USA,,Peer influence / friends
2025/10/01 12:30:06 PM GMT+6:30,14/10/2025,Male,INFJ,7–8 → High aptitude,Graduate,Comfortable / Above average,Globel Pathways International School,75,67,64,59,69,70,70,yes,Tuition / Extra Classes,2–3 hours,Intermediate,0,Math,Business,Student Council / Leadership Roles;Programming / coding clubs,Student Council / Leadership role,USA,,Family influence / parental guidance
2025/10/01 12:30:33 PM GMT+6:30,01/10/2025,Male,ISFJ,4–6 → Medium aptitude,Graduate,Comfortable / Above average,63b,80,60,75,55,40,50,55,yes,Self-study,2–3 hours,Intermediate,40,Physics,Engineering,Building miniatures / models,Model building recognition,Canada,GPIS,Personal interest / passion
2025/10/01 12:33:10 PM GMT+6:30,28/03/2008,Female,INFP,4–6 → Medium aptitude,Non-Graduate,Moderate / Average,Mandalay,56,66,87,78,44,26,76,no,Self-study,1–2 hours,Beginner,0,Chemistry,IT,Science clubs,Science fair / Olympiad prize,Thailand,Chula,Personal interest / passion
2025/10/01 12:33:12 PM GMT+6:30,01/12/2008,Female,INFP,9–10 → Exceptional aptitude,Non-Graduate,Comfortable / Above average,Mandalay,66,68,58,60,50,50,98,no,Self-study,1–2 hours,Intermediate,0,English,Business,"Volunteering at hospitals, clinics, or NGOs;DIY projects",DIY / Project recognition,UK;USA;Canada,NYU,Personal interest / passion
2025/10/01 12:33:24 PM GMT+6:30,28/03/2006,Female,ENFJ,7–8 → High aptitude,Graduate,Moderate / Average,mandalay,90,85,85,90,87,70,65,no,Tuition / Extra Classes,2–3 hours,Intermediate,0,ICT,IT,Programming / coding clubs,Science fair / Olympiad prize;Programming / Coding award,UK,,Personal interest / passion
2025/10/01 12:35:58 PM GMT+6:30,03/08/2009,Female,ESTJ,7–8 → High aptitude,Graduate,Comfortable / Above average,Mandalay,65,72,83,78,68,80,94,yes,Self-study,2–3 hours,Intermediate,0,Science,Medicine,"Volunteering at hospitals, clinics, or NGOs;Science clubs",Student Council / Leadership role;Volunteering recognition,Thailand,Chula,Personal interest / passion
2025/10/01 12:36:14 PM GMT+6:30,21/07/2004,Male,ENFJ,7–8 → High aptitude,Graduate,Moderate / Average,mandalay,79,80,85,89,90,90,80,no,Self-study,1–2 hours,Intermediate,0,ICT,IT,Debate / Public Speaking,Volunteering recognition;Programming / Coding award;Other (please specify),Thailand,aumit,Job availability / employment prospects
2025/10/01 12:37:18 PM GMT+6:30,07/03/2001,Female,INTJ,4–6 → Medium aptitude,Non-Graduate,Comfortable / Above average,Mandalay,74,63,73,74,71,70,60,yes,Self-study,2–3 hours,Intermediate,0,Math,Business,Student Council / Leadership Roles,Other (please specify),UK,,Personal interest / passion
2025/10/01 12:37:48 PM GMT+6:30,04/03/2006,Male,ENTJ,7–8 → High aptitude,Non-Graduate,Comfortable / Above average,Mandalay,60,70,50,60,75,66,67,yes,Group study,1–2 hours,Advanced,0,Science,Engineering,Debate / Public Speaking;Student Council / Leadership Roles,Other (please specify),UK;USA,NYU,Personal interest / passion
2025/10/01 12:39:08 PM GMT+6:30,17/01/1997,Male,ENTP,7–8 → High aptitude,Graduate,Moderate / Average,Singapore,80,70,60,60,72,80,94,yes,Self-study,Less than 1 hour,Intermediate,6.5,Business,Business,Debate / Public Speaking;Building miniatures / models,Debate / Public Speaking awards;Other (please specify),Singapore,Edinburgh Napier University ,Personal interest / passion
2025/10/01 12:39:32 PM GMT+6:30,27/10/2025,Male,ENFJ,7–8 → High aptitude,Graduate,Limited / Basic,GPIS,77,67,65,59,76,68,77,yes,Self-study,2–3 hours,Intermediate,0,Business,Business,"Volunteering at hospitals, clinics, or NGOs",Science fair / Olympiad prize,USA,Yale University,Family influence / parental guidance
2025/10/01 12:39:48 PM GMT+6:30,18/03/2010,Male,INTJ,7–8 → High aptitude,Graduate,Comfortable / Above average,GPIS,90,95,40,50,85,90,50,yes,Tuition / Extra Classes,Less than 1 hour,Advanced,0,English,IT,DIY projects,Science fair / Olympiad prize;DIY / Project recognition,USA;Thailand,chula universities,Personal interest / passion
2025/10/01 12:40:23 PM GMT+6:30,01/09/2025,Male,INFP,9–10 → Exceptional aptitude,Graduate,Moderate / Average,GPIS,82,88,0,0,78,40,70,yes,Self-study,1–2 hours,Intermediate,0,Physics,Engineering,Debate / Public Speaking,Hackathon / App competition prize,USA;Singapore;Thailand,University of Melbourne,Peer influence / friends
2025/10/01 12:40:29 PM GMT+6:30,31/03/2008,Female,ISFJ,7–8 → High aptitude,Graduate,Moderate / Average,Mandalay,90,56,70,80,69,99,97,yes,Group study,3–4 hours,Advanced,0,Science,Engineering,"Debate / Public Speaking;Student Council / Leadership Roles;Volunteering at hospitals, clinics, or NGOs",Debate / Public Speaking awards;Student Council / Leadership role;Volunteering recognition,Thailand,Mahidol,Personal interest / passion
2025/10/01 12:40:57 PM GMT+6:30,01/10/2025,Male,INFJ,4–6 → Medium aptitude,Graduate,Moderate / Average,63b,80,70,75,50,60,50,40,yes,Self-study,2–3 hours,Intermediate,0,Math,Engineering,Building miniatures / models,Model building recognition,Canada,Mastersportal,Job availability / employment prospects
2025/10/01 12:41:03 PM GMT+6:30,09/05/2002,Male,ENTJ,7–8 → High aptitude,Non-Graduate,Moderate / Average,mandalay,60,70,45,70,65,0,0,no,Self-study,Less than 1 hour,Beginner,0,Science,Engineering,"Volunteering at hospitals, clinics, or NGOs",Model building recognition,Thailand,mhidol,Family influence / parental guidance
2025/10/01 12:42:13 PM GMT+6:30,25/06/2010,Male,INTP,7–8 → High aptitude,Graduate,Comfortable / Above average,Gpis,75,90,0,0,70,40,90,yes,Tuition / Extra Classes,2–3 hours,Advanced,0,Business,Business,Science clubs,Science fair / Olympiad prize,USA,,Family influence / parental guidance
2025/10/01 12:42:24 PM GMT+6:30,01/03/2008,Female,INFP,7–8 → High aptitude,Non-Graduate,Moderate / Average,SFU,100,98,98,99,99,96,100,yes,Tuition / Extra Classes,3–4 hours,Advanced,0,English,Business,DIY projects,Student Council / Leadership role,UK,,Previous academic performance / aptitude
2025/10/01 12:42:24 PM GMT+6:30,02/02/2005,Male,ENTP,4–6 → Medium aptitude,Graduate,Moderate / Average,Yangon,80,75,76,60,74,91,83,no,Self-study,2–3 hours,Advanced,0,Science,IT,"Volunteering at hospitals, clinics, or NGOs;Science clubs;Programming / coding clubs",Volunteering recognition;Programming / Coding award,USA,Stanford University,Personal interest / passion
2025/10/01 12:43:18 PM GMT+6:30,09/04/2007,Male,INTJ,7–8 → High aptitude,Graduate,Moderate / Average,Global Path Way International School,67,88,0,0,70,40,75,yes,Tuition / Extra Classes,1–2 hours,Advanced,0,Physics,IT,Debate / Public Speaking,Other (please specify),UK,,Family influence / parental guidance
2025/10/01 12:43:26 PM GMT+6:30,10/11/2009,Female,ESFP,9–10 → Exceptional aptitude,Graduate,Moderate / Average,Magway,99,80,87,92,78,67,97,yes,Group study,3–4 hours,Intermediate,7.5,Science,Medicine,"Volunteering at hospitals, clinics, or NGOs",Volunteering recognition,Canada,University of Toronto ,Personal interest / passion
2025/10/01 12:44:46 PM GMT+6:30,30/09/2000,Female,ESFP,4–6 → Medium aptitude,Non-Graduate,Comfortable / Above average,Mandalay,52,80,80,52,65,68,97,yes,Self-study,1–2 hours,Intermediate,0,English,Business,Debate / Public Speaking,Debate / Public Speaking awards,UK,cambridge,Personal interest / passion
